Bo_Age,Ln_Orig,Orig_LTV_Ratio_Pct,Credit_score,First_home,Tot_mthly_debt_exp,Tot_mthly_incm,orig_apprd_val_amt,pur_prc_amt,DTI Ratio,Status,OUTCOME,State,Median_state_inc,UPB>Appraisal,LoanValuetoAppraised,loanToPurchPrice
37,272550,97,576,Y,1017,2381,114000,110000,0.427131,Default,default,DC,43003,1,2.390789474,2.477727273
48,105600,80,704,N,1921,4833,240000,105600,0.397476,Pay-off,non-default,NY,44228,0,0.44,1
37,180000,77,552,Y,1832,2936,68000,66000,0.623978,Default,default,IN,43003,1,2.647058824,2.727272727
37,187375,100,560,Y,1998,2811,109500,108532,0.710779,Default,default,TX,41275,1,1.711187215,1.726449342
23,85360,97,563,N,2486,6299,205000,194850,0.394666,Active,non-default,IL,45787,0,0.416390244,0.438080575
30,125100,97,672,N,1424,3939,170000,125100,0.361513,Default,default,CO,51022,0,0.735882353,1
42,238600,94,668,N,1921,6500,240000,240000,0.295538,Pay-off,non-default,CA,49894,0,0.994166667,0.994166667
37,155000,100,621,Y,1993,3992,84000,80800,0.499248,Active,non-default,TX,41275,1,1.845238095,1.918316832
52,140750,99,668,N,774,3200,95000,80000,0.241875,Default,default,PA,44286,1,1.481578947,1.759375
33,125352,95,739,Y,2152,6667,190000,186000,0.322784,Active,non-default,FL,40171,0,0.659747368,0.673935484
37,255000,100,618,Y,973,2340,153000,130000,0.415812,Pay-off,non-default,GA,43217,1,1.666666667,1.961538462
40,177200,100,596,Y,1574,4003,200000,195000,0.393205,Pay-off,non-default,MD,56763,0,0.886,0.908717949
37,264700,80,688,N,1862,9350,265000,264700,0.199144,Default,default,NE,44623,0,0.998867925,1
26,179760,80,606,Y,8074,20000,215000,206561,0.4037,Active,non-default,TX,41275,0,0.836093023,0.870251403
32,253000,99,662,Y,870,3517,118000,118000,0.24737,Default,default,NC,39000,1,2.144067797,2.144067797
24,137000,100,685,N,968,5500,115000,115000,0.176,Default,default,CA,49894,1,1.191304348,1.191304348
39,230000,83,718,N,955,3000,146900,120000,0.318333,Default,default,PA,44286,1,1.565690946,1.916666667
32,207000,90,745,N,0,5025,135000,134000,0,Pay-off,non-default,HI,53123,1,1.533333333,1.544776119
36,260000,100,664,Y,976,1775,185000,76250,0.549859,Active,non-default,IL,45787,1,1.405405405,3.409836066
32,280250,95,736,N,2233,13750,345000,345000,0.1624,Default,default,NY,44228,0,0.812318841,0.812318841
42,236900,99,738,Y,1130,4794,140000,136000,0.235711,Default,default,GA,43217,1,1.692142857,1.741911765
37,91000,100,553,Y,1753,5610,155000,149590,0.312478,Default,default,GA,43217,0,0.587096774,0.608329434
74,53600,80,765,N,1397,9900,157000,157000,0.141111,Pay-off,non-default,NV,46984,0,0.341401274,0.341401274
41,171400,100,673,N,791,3950,93000,92000,0.200253,Active,non-default,FL,40171,1,1.843010753,1.863043478
41,88000,80,685,N,2172,6462,250000,250000,0.336119,Default,default,NJ,56772,0,0.352,0.352
31,58950,97,702,N,0,6500,340000,295185,0,Pay-off,non-default,FL,40171,0,0.173382353,0.19970527
45,118316,80,734,Y,281,1622,51000,45580,0.173243,Active,non-default,SC,39326,1,2.319921569,2.595787626
24,120000,100,637,Y,1787,5677,146000,145500,0.314779,Active,non-default,FL,40171,0,0.821917808,0.824742268
25,163415,102,696,N,2073,4452,74000,70000,0.465633,Active,non-default,TX,41275,1,2.208310811,2.3345
50,185000,100,681,N,2724,6666,141000,140320,0.408641,Active,non-default,AZ,42590,1,1.312056738,1.318415051
29,130000,100,633,N,2641,4774,155000,155000,0.553205,Default,default,MI,44476,0,0.838709677,0.838709677
22,116900,89,666,N,1850,6000,250000,116900,0.308333,Default,default,MN,55914,0,0.4676,1
28,87290,102,625,N,1605,3030,140000,139901,0.529703,Default,default,IL,45787,0,0.6235,0.623941216
18,90000,90,646,N,4022,44013,221500,220000,0.091382,Pay-off,non-default,MD,56763,0,0.406320542,0.409090909
32,253000,99,662,Y,870,3517,118000,118000,0.24737,Default,default,NC,39000,1,2.144067797,2.144067797
37,184750,80,582,Y,3228,9036,337500,332500,0.357238,Default,default,IL,45787,0,0.547407407,0.555639098
37,100000,69,681,N,1533,6276,157000,154000,0.244264,Active,non-default,UT,50614,0,0.636942675,0.649350649
37,179000,100,583,Y,1410,2870,116500,97000,0.491289,Default,default,TX,41275,1,1.536480687,1.845360825
35,62000,100,701,N,3179,7790,248500,244500,0.408087,Active,non-default,AZ,42590,0,0.249496982,0.253578732
37,112500,90,671,N,1331,3120,120000,103500,0.426603,Pay-off,non-default,MS,33659,0,0.9375,1.086956522
32,139900,100,776,N,1902,5762,178000,177900,0.330094,Pay-off,non-default,MD,56763,0,0.785955056,0.786396852
44,233000,100,713,N,948,5025,113000,113000,0.188669,Default,default,AZ,42590,1,2.061946903,2.061946903
19,104000,100,680,N,1215,7800,145000,139900,0.155769,Default,default,UT,50614,0,0.717241379,0.743388134
25,177500,100,675,Y,713,2354,91000,91000,0.302889,Active,non-default,VA,53275,1,1.950549451,1.950549451
44,72000,100,560,N,1379,3053,137000,135000,0.451687,Default,default,GA,43217,0,0.525547445,0.533333333
35,118400,100,694,N,3436,7930,215000,210000,0.433291,Active,non-default,FL,40171,0,0.550697674,0.563809524
37,139500,90,660,Y,621,3680,73000,72000,0.16875,Default,default,PA,44286,1,1.910958904,1.9375
21,174850,97,721,N,860,4500,105000,105000,0.191111,Default,default,NC,39000,1,1.665238095,1.665238095
56,101175,95,649,N,3028,10182,247000,239500,0.297388,Pay-off,non-default,GA,43217,0,0.409615385,0.422442589
33,150779,95,716,N,2118,4281,145000,128500,0.494744,Pay-off,non-default,CO,51022,1,1.039855172,1.173377432
39,185500,100,738,N,826,3687,78000,68000,0.22403,Active,non-default,MO,43988,1,2.378205128,2.727941176
54,295000,66,587,N,496,1472,69000,65000,0.336957,Default,default,AL,38111,1,4.275362319,4.538461538
30,136385,100,716,N,1967,4600,225000,225000,0.427609,Default,default,UT,50614,0,0.606155556,0.606155556
56,182260,99,704,N,1225,2165,163000,160500,0.56582,Default,default,GA,43217,1,1.118159509,1.135576324
47,48000,100,508,Y,2015,4666,145000,145000,0.431847,Default,default,FL,40171,0,0.331034483,0.331034483
46,175000,100,788,Y,1049,2930,105000,101900,0.35802,Active,non-default,GA,43217,1,1.666666667,1.717369971
37,95000,95,742,N,1874,2887,128000,118000,0.649117,Default,default,TX,41275,0,0.7421875,0.805084746
39,137900,93,696,Y,1793,4202,236000,232000,0.426702,Default,default,IL,45787,0,0.584322034,0.594396552
23,111548,102,736,Y,2427,4987,210000,210000,0.486665,Default,default,CA,49894,0,0.531180952,0.531180952
33,277500,89,519,Y,1116,2544,83000,82500,0.438679,Default,default,MO,43988,1,3.343373494,3.363636364
37,217920,80,589,Y,0,5025,191000,189000,0,Active,non-default,FL,40171,1,1.140942408,1.153015873
38,110000,100,717,Y,2377,5064,323000,317750,0.469392,Active,non-default,VA,53275,0,0.340557276,0.346184107
